<<<<<<< HEAD
<<<<<<< HEAD
=======
>>>>>>> 2bd2a29 (finished project)
Date,Open,High,Low,BTC Close Price,Adj Close,Volume,Open % Change,High % Change,Low % Change,BTC Close Price % Change,Adj Close % Change,Volume % Change,Inflation Rate,s&p_500,s&p_500 % Change,NASDAQ,NASDAQ % Change,DOWJONES,DOWJONES % Change
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,424.4400024414063,34483200.0,-1.932758928800704,-2.416628349183769,-8.690557359869477,-7.192557601231164,-7.192557601231164,63.762774970555824,2.02,2011.36,0.4891160439055353,4593.43,0.6847588548482442,17265.99,0.6361307582685827
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700.0,-7.170027924459943,-6.353148629147087,-6.916415889612393,-6.984264508683835,-6.984264508683835,9.965722438752778,2.03,2010.4,-0.0477288998488534,4579.79,-0.2969458552759096,17279.74,0.07963632551624134
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600.0,-2.20174364156972,-1.3359996300235877,1.0043733368105825,0.8352101649706567,0.8352101649706567,-9.226827589060992,1.99,1994.29,-0.8013330680461617,4527.69,-1.1376067461608574,17172.68,-0.619569507411577
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500.0,0.7496878849345912,8.513064857693099,-0.2349391646423004,8.364741783421215,8.364741783421215,86.92078781146901,2.02,1982.77,-0.5776491884329715,4508.69,-0.4196400371933584,17055.87,-0.6802083309070062
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,423.2049865722656,30627700.0,8.370968759200137,-1.2331380184035456,6.293585798758228,-2.8880814347395978,-2.8880814347395978,-32.0886040865198,2.03,1998.3,0.7832476787524412,4555.22,1.0320070796617342,17210.06,0.9040289354925957
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400.0,-2.890412418114852,-2.8873341050338563,-2.769678339013304,-2.7483091679796234,-2.7483091679796234,-12.450494160514824,2.02,1965.99,-1.61687434319171,4466.75,-1.9421674474558888,16945.8,-1.5354972614854412
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,404.4249877929688,21460800.0,-2.7713231293635565,-2.0263508110699435,-2.3100668853023976,-1.736994378879475,-1.736994378879475,-19.96539172981681,1.97,1982.85,0.8575832023560492,4512.19,1.0172944534616812,17113.15,0.9875603394351451
2014-09-29,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700.0,-5.643212848779367,-3.941478746092719,-0.5588649898896181,-0.454420890480145,-0.454420890480145,37.62455904087951,1.95,1977.8,-0.2546839145674107,4505.85,-0.140508267603967,17071.22,-0.24501625942623395
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300.0,-0.222853255199884,1.4968397145626255,0.3231793899763469,3.0567238732558177,3.0567238732558177,6.799250408490454,1.97,1972.29,-0.2785923753665709,4493.39,-0.2765294006680241,17042.9,-0.16589324020193086
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400.0,3.014982896303797,0.1028214107693825,1.964692268844104,-0.8603337970520819,-0.8603337970520819,-24.426849682919727,1.96,1946.16,-1.3248558781923436,4422.09,-1.586775240965066,16804.71,-1.3975907856057512
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700.0,-0.8876498912030462,-1.5028881361578097,-2.0573518567451488,-2.22697222086099,-2.22697222086099,-16.97217626022708,1.95,1946.17,0.0005138323673214,4430.2,0.1833974432903895,16801.05,-0.02177960821697633
2014-10-03,375.1809997558594,377.6950073242188,357.8590087890625,359.5119934082031,359.5119934082031,30901200.0,-2.293562997997456,-2.023881318236598,-4.04535912237397,-4.148536263261304,-4.148536263261304,41.89377206959413,1.93,1967.9,1.1165519969992266,4475.62,1.0252358809986095,17009.69,1.241827147708019
